Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
153_Nothing For Free – Pendulum,-13.5106,-10.41,"(0.0, -98.66)","(77.0, -5.7653)",0.1495,182.9967,183.1463
154_Aiobahn and Yunomi feat nicamoq – Makuramoto ni Ghost Katomori Remix,-13.0731,-10.7899,"(0.0, -98.66)","(67.0, -7.2191)",1.2324,210.3582,211.5907
155_WINNER – REALLY REALLY (Japanese vers),-13.9768,-9.93,"(0.0, -98.66)","(50.0, -6.0622)",0.8668,243.9628,244.8297
156_Rick Springfield – Jessie’s Girl,-22.1991,-18.11,"(0.0, -90.87)","(110.0, -11.5612)",0.1559,195.0063,195.1622
157_Rita – DORCHADAS [Shikkoku no Sharnoth Opening],-14.4528,-11.98,"(0.0, -98.66)","(62.0, -8.5768)",0.595,277.7531,278.3481
158_Girls’ Generation (SNSD) – All Night,-13.6191,-10.15,"(1.0, -98.6467)","(53.0, -4.5189)",0.476,230.9909,231.467
159_Hacking to the Gate [iDOLM@STER Soundtrack] – Ranko Kanzaki,-17.9764,-13.99,"(4.0, -91.0775)","(117.0, -11.3206)",5.3542,127.6602,133.0144
160_Blind Guardian – Road of No Release,-15.4042,-13.13,"(127.0, -75.7303)","(89.0, -8.5015)",0.0,390.8357,390.8357
161_PSYQUI – Education,-11.7542,-8.98,"(1.0, -98.8091)","(12.0, -4.6756)",2.076,224.9207,226.9968
162_[Extra Sensory] Hayako – Analys,-14.841,-11.55,"(0.0, -88.48)","(111.0, -8.837)",3.6124,125.3385,128.9509
163_[FUTURE FUNK PACK] Windy Summer (Night Tempo 100 Pure Remastered),-19.047,-16.2399,"(0.0, -98.17)","(25.0, -12.2346)",0.1259,200.4465,200.5725
164_[FUTURE FUNK PACK] Remember Summer Days (MACROSS 82-99 Short Ver),-14.7759,-12.35,"(0.0, -98.65)","(100.0, -6.6953)",3.3588,262.6595,266.0183
165_EveryBody -Shirakami Fubuki,-14.655,-11.6,"(0.0, -69.74)","(111.0, -5.5481)",0.593,91.6351,92.2282
166_Windows XP Startup,-20.891,-15.92,"(0.0, -92.69)","(71.0, -6.8723)",0.2331,7.348,7.5812
167_Seven Lions – Silent Skies (ft Karra)  [Chroma RGB],-15.0586,-12.07,"(0.0, -98.66)","(89.0, -5.7467)",5.3876,241.7873,247.1749
168_cYsmix – Peer Gynt (Chroma 20),-11.9911,-9.91,"(0.0, -92.98)","(10.0, -6.3004)",0.2495,140.6708,140.9204
169_Blossom – Synthion,-11.2076,-9.22,"(0.0, -98.66)","(96.0, -4.33)",1.69,217.1565,218.8466
170_Give Me a Nightmare – Alice Schach and the Magic Orchestra,-21.3755,-14.3,"(114.0, -98.75)","(81.0, -9.645)",4.5934,181.3392,185.9327
171_Chili Corn Carne – The Real Group,-17.1742,-14.11,"(2.0, -96.2335)","(127.0, -10.2371)",5.6135,200.683,206.2966
172_Kodachrome – Paul Simon [Chroma],-20.4172,-16.4899,"(0.0, -98.13)","(45.0, -11.8781)",0.3911,214.9946,215.3857
173_[FUTURE FUNK PACK] Disco Lady – Nanidato,-12.4096,-10.27,"(0.0, -98.66)","(69.0, -6.5629)",0.0827,188.4153,188.4981
174_[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE  Short Ver),-8.9515,-8.55,"(1.0, -28.9734)","(17.0, -5.9111)",2.8965,297.0926,299.9891
175_Bohemian Rhapsody – Queen,-22.7564,-16.77,"(0.0, -98.44)","(57.0, -10.1375)",2.0461,357.4092,359.4554
176_kanaria – KING,-15.8871,-14.17,"(0.0, -73.62)","(56.0, -10.9281)",1.8201,133.0631,134.8832
177_Ventura Highway – America,-13.6619,-11.2,"(0.0, -98.61)","(47.0, -7.8999)",0.7336,210.9136,211.6473
178_Boulevard of Broken Dreams (Nightcore),-13.0421,-11.23,"(0.0, -98.66)","(63.0, -8.0391)",0.169,217.5981,217.7672
179_Laur – Metamorphose,-9.3713,-6.62,"(1.0, -98.7)","(53.0, -2.4262)",3.2748,146.783,150.0578
180_Azazal & Said – I Said Meow,-11.823,-9.85,"(0.0, -96.15)","(89.0, -4.7875)",1.1274,215.8848,217.0122
181_Trifect – Neverland (Short Ver),-14.1322,-11.11,"(0.0, -95.54)","(51.0, -7.3975)",0.0775,176.9499,177.0274
182_Geoxor – Gloom [Wallmap] V2,-17.1538,-9.65,"(32.0, -75.075)","(87.0, -5.2753)",0.1123,165.0254,165.1378
183_[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE  Short Ver),-8.9515,-8.55,"(1.0, -28.9734)","(17.0, -5.9111)",2.8965,297.0926,299.9891
184_[FUTURE FUNK PACK] You Look So Good – Moe Shop,-15.9208,-12.76,"(0.0, -98.37)","(87.0, -8.7586)",0.5421,202.4684,203.0106
185_[FUTURE FUNK PACK] Idolstep Dreaming – Mikazuki BIGWAVE,-14.7023,-11.34,"(0.0, -98.66)","(86.0, -6.1128)",0.1348,217.9807,218.1155
186_[FUTURE FUNK PACK] September – Tenma Tenma,-11.2353,-9.36,"(0.0, -98.02)","(60.0, -4.4628)",0.2115,236.8395,237.051
187_Elektronomia – Summer Vibes,-10.3563,-8.81,"(127.0, -40.3481)","(104.0, -4.9737)",0.0217,298.9921,299.0139
188_Skrillex – Fuji Opener (Virtual Riot & Xomega Remix),-15.8901,-14.26,"(0.0, -93.97)","(50.0, -8.1012)",0.8253,116.2834,117.1087
189_[FUTURE FUNK PACK] Megumi no Hito (Night Tempo Showa Groove Mix),-15.9871,-13.76,"(0.0, -95.02)","(41.0, -9.6758)",0.1467,237.6593,237.806
190_Twice – LIKEY,-13.0402,-10.03,"(124.0, -88.225)","(48.0, -6.3)",0.1729,221.2743,221.4472
191_Starlight – B3LLA (feat Reichuu),-12.2955,-10.08,"(0.0, -48.32)","(49.0, -4.5856)",4.9032,181.8997,186.803
192_Laur – Metamorphose,-9.3713,-6.62,"(1.0, -98.7)","(53.0, -2.4262)",3.2748,146.783,150.0578
193_Don’t Stop – KUURO,-12.1651,-9.53,"(0.0, -98.66)","(33.0, -3.335)",3.9805,162.6908,166.6713
194_[Extra Sensory] LeaF – Doppelganger,-13.2514,-10.5399,"(0.0, -98.67)","(110.0, -6.8309)",0.5058,266.0001,266.5059
195_City Lights (somunia nyankobrq Remix),-13.7328,-11.47,"(0.0, -98.66)","(108.0, -8.3025)",0.566,213.4628,214.0288
196_Coffin Dance (Camellia Remix),-10.4861,-8.81,"(127.0, -66.3612)","(49.0, -6.0057)",0.4796,169.7099,170.1895
197_Knife Party – Bonfire,-9.8427,-8.24,"(127.0, -44.2975)","(87.0, -3.9754)",0.0364,272.0535,272.0899
198_[FUTURE FUNK PACK] Tokyo Chopp ft Shiki(TMNS) (Moe Shop Remix),-13.6104,-10.44,"(127.0, -79.4845)","(106.0, -3.8184)",0.1952,186.4917,186.6869
199_Precious Summer !,-12.6336,-10.68,"(0.0, -98.66)","(52.0, -6.8362)",0.2817,246.6377,246.9195
200_Dream X Scramble,-12.2162,-10.69,"(0.0, -81.85)","(90.0, -8.11)",0.5028,99.5736,100.0765
201_DenporuP – World on Color – feat Hatsune Miku,-14.1337,-11.0399,"(0.0, -98.68)","(51.0, -5.7295)",1.1168,218.926,220.0428
202_The Spectre – Wallmap,-17.576,-10.6,"(126.0, -98.7253)","(113.0, -5.4304)",1.068,205.2053,206.2734
203_Matrix & Futurebound – Control (ft Max Marshall),-10.865,-9.02,"(0.0, -98.67)","(39.0, -4.606)",2.7978,226.5441,229.342
204_KDA – THE BADDEST ft (G)I-DLE Bea Miller Wolftyla,-15.8117,-11.6199,"(120.0, -93.25)","(103.0, -7.0218)",0.0946,174.9943,175.089
205_yasuoP – Electric Angelえれくとりっく・えんじぇぅ – Kagamine Rin Kagamine Ren – ArrangeCover 【Wall Map】(Fixed),-11.0166,-8.64,"(0.0, -98.66)","(20.0, -5.925)",0.6142,191.0537,191.668
206_THE BADDEST (ft (G)I-DLE Bea Miller Wolftyla) – KDA,-15.8117,-11.6199,"(120.0, -93.25)","(103.0, -7.0218)",0.0946,174.9943,175.089
207_Gonna Get Funky – GRiZ,-11.1588,-7.27,"(127.0, -64.8912)","(42.0, -2.8596)",0.0497,211.332,211.3817
208_Lost It – Virtual Riot ft Pearl Andersson,-13.7684,-10.05,"(0.0, -98.66)","(104.0, -5.2531)",0.0864,184.0583,184.1447
209_[Jubeat] ぺのれり- Fairy Fair [WallMap],-17.4848,-11.96,"(127.0, -93.7308)","(21.0, -7.4888)",1.4853,133.526,135.0113
210_Danny Elfman – This Is Halloween,-19.8007,-17.46,"(0.0, -97.34)","(57.0, -11.28)",0.4682,199.257,199.7253
211_Donkey Donk – Ryu☆,-11.3422,-8.36,"(0.0, -98.66)","(61.0, -4.5587)",0.5397,261.9724,262.5121
212_Kobaryo – Theme for Psychopath Justice,-15.4827,-10.13,"(0.0, -98.66)","(65.0, -5.679)",1.2591,134.8203,136.0794
213_164 – 天ノ弱 featGUMI【BEGINNER】,-14.5437,-11.49,"(0.0, -98.58)","(96.0, -7.65)",4.4963,188.4135,192.9099
214_DECO27 – Ghost Rule feat Hatsune Miku【BEGINNER】,-12.4446,-10.11,"(0.0, -98.66)","(103.0, -6.1896)",0.1089,206.2805,206.3895
215_Henry Stickman distraction dance for 1 minute.,-13.8614,-10.43,"(36.0, -39.2037)","(10.0, -6.4568)",0.0435,60.0729,60.1164
216_DECO27 – HIBANA feat Hatsune Miku【BEGINNER】,-12.2176,-10.56,"(0.0, -98.66)","(53.0, -7.4646)",0.2296,202.6648,202.8945
217_Highway to Hell – ACDC,-16.3796,-13.74,"(0.0, -67.16)","(59.0, -9.9932)",0.1744,206.8764,207.0508
218_Hirahashi Book Store – Network 【Wall Map】(Fixed),-14.9086,-12.1199,"(0.0, -80.88)","(35.0, -6.4028)",1.6304,192.509,194.1395
219_Boogie Back [Dragon Ball Super 8th Ending] – Miyu Inoue,-13.0476,-10.84,"(0.0, -98.66)","(73.0, -6.6781)",1.3469,202.6973,204.0442
220_MARETU – Venom (MARETU Remix),-11.6295,-9.97,"(0.0, -97.3)","(65.0, -7.6175)",3.9368,198.2498,202.1866
221_Vengaboys – Boom Boom Boom Boom!! (Prezioso Alyon & Mylian Bootleg),-11.5226,-9.7899,"(127.0, -51.1853)","(47.0, -5.1428)",0.0461,179.5968,179.643
222_[Alphabeat – Marshmello Pack] Anne-Marie & Marshmello – FRIENDS,-12.9061,-10.32,"(127.0, -98.8287)","(35.0, -4.8067)",1.1443,204.386,205.5303
223_[Alphabeat – Marshmello Pack] Crankdat & Marshmello – Falling To Pieces,-15.3729,-9.26,"(126.0, -98.7012)","(46.0, -5.0203)",0.0594,173.9382,173.9976
224_[Alphabeat – Marshmello Pack] Marshmello x Selena Gomez – Wolves,-15.5811,-13.0,"(0.0, -98.66)","(102.0, -6.1575)",0.4713,196.6413,197.1127
225_Uruha Rushia – Ghost In A Flower (cover),-22.1269,-17.01,"(0.0, -96.41)","(83.0, -11.4949)",5.4371,242.3071,247.7442
226_[Alphabeat – Marshmello Pack] A Day To Remember & Marshmello – Rescue Me,-10.0709,-8.92,"(0.0, -34.35)","(76.0, -3.1343)",0.0539,239.0404,239.0944
227_Tsukiakari no Michishirube (TV Size) [Darker than Black Ryuusei no Gemini Opening] – Stereopony,-14.2279,-12.01,"(0.0, -98.66)","(114.0, -6.4923)",0.9743,234.3351,235.3095
228_Kienai Kizuna Hatsune Miku,-13.3395,-11.4,"(0.0, -98.66)","(121.0, -8.2099)",0.8963,224.1035,224.9999
229_[Alphabeat – Marshmello Pack] Marshmello – Summer,-12.7065,-9.07,"(0.0, -95.3)","(117.0, -5.3625)",0.0608,170.1751,170.236
230_[Alphabeat – Marshmello Pack] Marshmello & Halsey – Be Kind,-14.6026,-11.52,"(0.0, -98.66)","(57.0, -5.4483)",1.1834,172.0014,173.1849
231_Franky Nuts – Lose Control (ft Danyka Nadeau),-11.7186,-9.66,"(0.0, -98.68)","(57.0, -5.2352)",1.2257,223.0663,224.292
232_Brand-new World [The Asterisk War Opening] – Shiena Nishizawa,-13.6908,-12.15,"(99.0, -38.5749)","(96.0, -8.5574)",2.1201,243.3365,245.4566
233_Kamisama Neji Maki (Wind-Up God) – Kemu ft Gumi,-15.312,-13.0,"(0.0, -81.83)","(46.0, -9.1843)",1.5659,224.5837,226.1496
234_Your Reality – Doki Doki Literature Club,-25.2378,-21.92,"(127.0, -64.5146)","(106.0, -14.8998)",0.034,181.6494,181.6834
235_kemu – Roku Chounen to Ichiya Monogatari【BEGINNER】,-15.428,-11.2899,"(0.0, -98.66)","(89.0, -6.095)",2.0422,218.0934,220.1357
236_Marshmello x Ookay – Chasing Colors (ft Noah Cyrus),-11.3567,-9.47,"(0.0, -68.4)","(72.0, -5.9875)",0.0578,193.5606,193.6185
237_Tokyo Machine – PAUSE,-11.4121,-8.02,"(21.0, -85.1778)","(122.0, -3.34)",0.0229,184.0057,184.0286
238_Gurenge [227 Soundtrack] – Reika Sato,-17.3625,-13.23,"(0.0, -98.66)","(86.0, -7.9446)",1.8413,92.407,94.2483
239_Kano – Nadamesukashi Negotiation [Uzaki-chan Wants to Hang Out! Opening],-20.7606,-12.56,"(0.0, -97.06)","(66.0, -8.8074)",0.5614,278.8428,279.4042
240_YUNGBLUD Halsey – 11 Minutes ft Travis Barker,-15.9528,-11.5399,"(0.0, -98.66)","(19.0, -6.7565)",0.6894,234.5965,235.2859
241_Sweet Arms – I Swear (TV Size)  Date A Live 3 Opening,-15.7062,-10.9,"(0.0, -98.66)","(34.0, -7.4656)",0.8497,338.0096,338.8593
242_[NoodleGames Vol2] Rivers in the Desert – Persona 5,-15.9084,-13.63,"(0.0, -98.61)","(17.0, -8.2739)",0.5943,310.401,310.9953
243_[NoodleGames Vol2] Martin O’Donnell and Michael Salvatori – Rain,-24.3143,-19.34,"(0.0, -91.87)","(92.0, -9.5025)",0.3843,185.9198,186.3042
244_[NoodleGames Vol2] Weight of the World Kowaretasekainouta – NieR Automata,-17.8623,-14.76,"(0.0, -98.61)","(53.0, -8.0132)",0.9075,339.1592,340.0667
245_[90° One Saber demo] Sherlock Opening,-16.828,-12.91,"(0.0, -57.85)","(39.0, -9.3271)",3.2337,55.3142,58.548
246_[NoodleGames Vol2] Last Surprise – Persona 5,-15.6636,-12.89,"(0.0, -98.18)","(37.0, -8.982)",0.6004,235.2552,235.8556
247_Vitality,-15.3221,-12.65,"(0.0, -96.88)","(18.0, -8.19)",0.0569,226.9398,226.9968
248_[NoodleGames Vol2] Wake Up Get Up Get Out There – Persona 5,-17.3243,-13.91,"(0.0, -98.56)","(102.0, -9.6759)",0.5791,277.6528,278.232
249_Tetris 99 Megamix,-12.8435,-11.7899,"(0.0, -97.59)","(21.0, -9.1062)",0.9279,291.8862,292.8141
250_KRUSTY KRAB PIZZA,-26.5001,-22.82,"(29.0, -62.2367)","(16.0, -14.7287)",0.6114,306.8425,307.4539
251_Harujion – YOASOBI,-13.9564,-9.6199,"(0.0, -98.66)","(117.0, -5.7237)",2.0102,202.1733,204.1836
252_不可幸力,-14.5502,-11.21,"(127.0, -98.7653)","(57.0, -6.1232)",0.0998,200.9138,201.0136
253_Let’s Get Real (RWBY Volume 7 Soundtrack) – Jeff Williams ft Casey Lee Williams & Erin Reilly,-13.7665,-12.31,"(0.0, -98.3)","(50.0, -8.4153)",0.1078,221.0375,221.1453
254_[NoodleGames Vol2] Louise Penman – Baptism of Fire (CliqTrack remix),-12.4654,-11.07,"(127.0, -67.0199)","(116.0, -7.3584)",0.0017,172.8331,172.8348
255_[NoodleGames Vol2] A Hat In Time & Plasma3Music – Trainwreck Of Electro Swing,-13.2677,-10.25,"(127.0, -37.1111)","(114.0, -5.4525)",0.0294,247.4473,247.4768
256_KSHMR – Over And Out,-16.4803,-11.48,"(127.0, -98.4841)","(49.0, -4.4923)",0.1933,185.0659,185.2593
257_chocolate box (watakana cover),-12.0371,-10.49,"(0.0, -98.66)","(102.0, -7.5018)",1.3077,232.7831,234.0909
258_Sheep In The Light,-13.0046,-9.56,"(0.0, -98.66)","(18.0, -4.8518)",1.7685,196.7261,198.4947
259_[NoodleGames Vol2] League of Legends – RISE (ft The Glitch Mob Mako and The Word Alive),-14.9788,-12.49,"(125.0, -45.4316)","(60.0, -7.2653)",5.7295,204.4216,210.1511
260_[NoodleGames Vol2] C418 – Sweden,-29.2245,-20.2,"(0.0, -91.03)","(56.0, -9.7411)",1.1324,214.5218,215.6542
261_[NoodleGames Vol2] Bryan Tyler – Pyrates Beware – Assassin’s Creed IV Black Flag OST,-19.521,-15.88,"(127.0, -95.1288)","(85.0, -11.3311)",0.1963,198.1125,198.3089
262_NULCTRL (Meiso FLIP),-10.9705,-8.1199,"(127.0, -98.7266)","(52.0, -4.8615)",0.4508,214.2625,214.7134
263_Din Don Dan (Extended Mix),-12.8828,-10.22,"(0.0, -98.66)","(51.0, -5.7551)",0.6938,210.6415,211.3353
264_[KSHMR Pack] KSHMR x Marnik – Mandala (ft Mitaka),-12.4091,-10.11,"(127.0, -44.5459)","(111.0, -5.3826)",0.0036,177.8717,177.8753
265_Kasai Harcores – Drop The Fire,-11.3646,-9.64,"(0.0, -81.28)","(97.0, -5.7904)",1.2566,235.3187,236.5754
266_[KSHMR Pack] KSHMR x Marnik – Bazaar,-13.5402,-10.93,"(0.0, -98.66)","(110.0, -5.18)",0.4395,202.9313,203.3709
267_Better Now – Post Malone,-13.7848,-10.0399,"(0.0, -98.66)","(54.0, -5.8318)",0.1153,231.2003,231.3157
268_Avalanche,-9.3713,-7.33,"(0.0, -98.65)","(106.0, -3.6851)",2.282,118.4835,120.7655
269_Sword Art Online Opening Compilation 2,-13.9751,-12.34,"(0.0, -97.33)","(42.0, -9.5106)",0.5137,256.054,256.5678
270_Moglii  Tonic Water (Snocker Cot Remix)  Chroma 20,-16.9177,-12.75,"(0.0, -98.64)","(110.0, -4.5912)",3.6543,137.0339,140.6882
271_Kasai Harcores – Drop The Fire,-11.3646,-9.64,"(0.0, -81.28)","(97.0, -5.7904)",1.2566,235.3187,236.5754
272_Dazzling White Town [Love Live! Soundtrack] – Saint Snow,-24.1157,-19.2399,"(0.0, -95.3199)","(17.0, -12.0803)",2.171,139.992,142.1631
273_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-15.5912,-12.9,"(0.0, -98.04)","(97.0, -8.3049)",3.9151,188.1475,192.0627
274_Rail Romanesque – MItuki Nakae [まいてつ] レイルロマネスク,-15.6228,-11.94,"(0.0, -98.67)","(61.0, -8.1719)",0.9321,96.6485,97.5807
275_bonk,-25.1651,-13.92,"(124.0, -95.9143)","(9.0, -3.9032)",0.09,59.9088,59.9989
276_FOOL & SKUM – Hysteria (v2),-11.7022,-9.7899,"(0.0, -51.67)","(108.0, -3.1962)",2.1376,212.2626,214.4003
277_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.9497,-13.85,"(0.0, -64.66)","(81.0, -6.8381)",0.0612,223.8593,223.9205
278_FINAL FANTASY XVI – Awakening (Alex Moukala Mix),-15.3257,-14.49,"(127.0, -41.6482)","(7.0, -8.6344)",0.6715,70.2759,70.9475
279_[KSHMR Pack] KSHMR – Wildcard (ft Sidnie Tipton),-11.7986,-10.43,"(0.0, -58.69)","(106.0, -4.6083)",1.4041,187.5351,188.9393
280_DAOKO × 米津玄師 – 打上花火 feat96猫 & 天月,-17.3755,-12.1,"(127.0, -97.1687)","(75.0, -7.7775)",0.1508,293.0924,293.2433
281_[KSHMR Pack] KSHMR x Firebeatz – No Heroes (ft Luciana),-14.4436,-12.14,"(0.0, -77.47)","(104.0, -7.155)",0.4815,156.9834,157.465
282_“Only Us” featuring Laura Dreyfuss and Ben Platt  DEAR EVAN HANSEN,-16.9497,-13.85,"(0.0, -64.66)","(81.0, -6.8381)",0.0612,223.8593,223.9205
283_だんだん高くなる (Getting Higher and Higher) – 40meterP feat Hastune Miku [Noodle Extensions],-11.2862,-8.7899,"(0.0, -98.64)","(75.0, -5.9625)",2.4926,143.3159,145.8086
284_Have You Ever Had a Dream (Metal Remix),-20.5212,-11.2899,"(1.0, -98.6604)","(77.0, -5.2003)",1.0517,20.5645,21.6163
285_Avalanche,-18.2442,-14.2,"(0.0, -40.97)","(49.0, -5.876)",0.1043,202.7901,202.8945
286_Mirror [227 Soundtrack] – Sakura Fujima,-14.4815,-10.07,"(0.0, -98.66)","(87.0, -6.1724)",5.016,273.0302,278.0462
287_I made a shark sound MAD – IOSYS,-13.3862,-10.91,"(0.0, -96.53)","(72.0, -8.2125)",1.4122,55.1621,56.5743
288_Calliope Mori – Excuse My Rudeness But Could You Please RIP,-16.5114,-12.82,"(127.0, -97.7332)","(76.0, -8.5559)",0.1158,188.1355,188.2513
289_September Eurobeat Remix,-14.9095,-12.28,"(0.0, -98.58)","(29.0, -9.7236)",2.468,199.8347,202.3027
290_Rising Hope [227 Soundtrack] – Reika Sato,-16.6634,-13.1,"(0.0, -98.48)","(32.0, -9.0)",2.3997,93.8222,96.222
291_Chocolate (Choco Choco) – Soul Control,-15.8248,-15.11,"(92.0, -31.6865)","(103.0, -12.1375)",0.002,178.7669,178.7689
292_Grilletto [227 Soundtrack] – Yuki Tojo,-14.0834,-11.81,"(0.0, -98.66)","(71.0, -8.6744)",0.9234,264.0147,264.9382
293_John Mayer – New Light,-16.8626,-11.36,"(0.0, -98.56)","(43.0, -5.0492)",5.4553,221.7848,227.2402
294_Hall Of The Mountain King – Apocalyptica,-15.4053,-12.31,"(0.0, -98.66)","(2.0, -8.6123)",0.4331,208.5914,209.0245
295_PSYQUIV & K feat DJKatsuya,-14.692,-9.69,"(0.0, -98.66)","(45.0, -3.3568)",0.088,335.9385,336.0265
296_Hana ranman -Flowers- – TERRA,-12.479,-10.5,"(0.0, -98.66)","(9.0, -7.8798)",0.1364,103.7137,103.8501
297_Disturbia – Rihanna,-17.065,-14.15,"(0.0, -89.7)","(33.0, -9.6003)",1.3034,260.0589,261.3623
298_Fuyu no Hanashi [Given OST] – Given,-12.3202,-11.19,"(0.0, -91.8199)","(65.0, -8.1692)",0.9375,205.4983,206.4359
299_Shawn Mendes Zedd – Lost In Japan,-16.6385,-10.2899,"(0.0, -98.66)","(66.0, -3.95)",1.9355,202.863,204.7985
300_Ryllz – Nemesis V12,-17.3504,-9.72,"(0.0, -98.69)","(31.0, -2.6687)",0.0851,160.8973,160.9824
301_BON VOYAGE! (TV Size) [One Piece 4th Opening] – Bon-Bon Blanco,-18.8155,-16.04,"(0.0, -98.31)","(45.0, -12.2978)",4.0436,106.4122,110.4558
